	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq35	0	4	0	330	25	31	136	132	17	0	371	25	0	0	328	0	0	54	53	7	0	32	143	49	260	11	0	513	15	0	0	27	1	0	0	366	17	74	60	44	110	471	4	20	31	35	4	90	342	170	23	2	0	0	0	7	0	0	12	0	18	4	2	0	0	220	0	0	36	0	0	0	1	0	6	28	0	0	7	0	0	1	0	18	9	0	0	0	0	12	0	370	406	0	27	1	14	0	15	5	19	1	0	8	1	103	0	4	2	16	0	0	0	26	3	0	0	5	0	4	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri
seq36	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	3	28	0	0	0	6	16	0	24	0	1	1	5	0	5	19	0	4	77	0	1	2	2	4	8	0	0	5	3	0	0	0	1	0	3	4	0	15	1	0	0	0	358	2	6	0	0	0	0	1728	0	7	0	0	0	0	1	0	961	0	0	0	2	0	0	292	230	358	0	1	0	0	0	1	9	5	5	264	0	0	4	0	2	3	0	0	3	0	0	0	952	0	0	0	55	0	0	1	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	insidiosa/pickettii/solanacearum/syzygii
seq37	0	0	0	0	0	11	221	160	0	0	4	0	0	0	0	0	0	21	0	1	0	0	0	0	121	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	7	4	0	0	0	0	0	0	0	0	8	0	0	91	2275	39	334	43	445	0	0	0	0	0	0	8	5	0	4	0	0	0	0	0	7	2	0	0	39	3	0	0	0	0	0	0	0	15	12	0	0	0	689	407	7	5	7	350	0	6	0	108	0	4	3	199	0	0	0	1	0	0	5	0	0	0	9	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
seq38	0	0	0	0	0	9	78	6	0	473	14	4	0	0	0	55	5	0	14	7	0	11	1	12	10	1	3	0	0	0	0	3	0	0	0	19	19	29	44	16	0	1	11	3	184	116	47	46	10	21	4	0	0	0	74	20	69	2	42	124	47	135	11	325	26	7	112	53	77	177	4	0	201	116	0	1	256	0	18	27	27	36	27	38	75	0	0	0	0	0	0	0	2	231	2	68	64	1	149	117	52	120	3	197	0	47	75	201	2	7	0	0	267	95	95	0	20	200	32	43	5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	haemolyticus
seq39	44	0	6	9	3	11	460	116	2	4	0	6	0	0	23	48	13	0	0	120	1	3	0	290	16	19	0	38	5	19	0	9	0	4	0	77	81	6	4	333	2	7	1	36	313	50	2	3	12	182	1656	63	22	1	1	9	12	42	224	8	136	17	4	1	26	36	2	22	61	5	513	0	0	11	15	88	2	2	31	0	8	0	3	24	23	0	0	0	0	1	0	9	2	6	0	3	32	4	4	36	4	10	0	2	0	9	18	3	24	65	7	2	8	29	18	0	4	28	3	10	22	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	aerosaccus
seq40	0	0	0	14	0	38	14	16	0	0	1118	0	0	0	0	0	0	0	1	9	0	32	0	1	11	4	0	0	1	0	1	2	0	0	0	6	0	22	58	0	0	0	0	146	0	0	0	6	207	7	0	0	0	0	0	0	0	53	179	0	279	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	33	0	0	145	0	47	0	9	0	0	0	0	77	80	80	0	0	44	2692	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flava/meningitidis/mucosa/pharyngis/sicca
seq41	5	0	0	0	1	2	19	5	3	18	6	13	0	0	14	61	16	0	0	4	0	488	12	0	12	0	0	0	125	0	0	50	0	0	0	16	0	112	6	0	0	0	0	0	2	4	34	11	15	100	0	0	0	0	42	3	48	0	0	5	4	1	0	0	0	0	6	0	0	0	0	0	0	12	0	59	0	0	62	0	0	15	5	0	0	0	0	0	0	0	1	0	0	176	16	1317	168	4	12	1040	29	209	0	76	9	85	48	0	0	0	0	0	14	4	23	0	98	0	0	187	22	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	
seq42	0	0	0	0	0	0	3	0	5	296	48	0	0	0	2	11	0	0	461	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	29	0	0	0	0	0	5	0	153	26	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1359	34	22	152	122	82	0	21	0	3	120	0	30	21	9	407	6	0	5	19	0	323	0	0	0	0	183	0	3	91	0	0	16	0	0	604	5	13	16	0	7	0	12	0	451	1	10	0	1	0	0	6	30	30	0	0	64	1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	
seq43	17	0	0	51	6	4	76	9	18	5	33	2	0	0	2	51	7	62	2	3	1	2	27	63	3	0	12	42	0	71	8	28	0	2	5	50	260	0	16	137	30	13	4	17	85	20	4	32	224	5	0	4	18	12	4	69	4	50	19	3	26	0	15	0	14	20	0	5	5	2	16	0	27	23	11	22	0	28	0	0	97	11	0	0	0	25	552	983	1448	0	0	0	0	5	11	32	130	8	2	0	0	0	0	4	13	97	53	40	0	4	0	8	50	7	4	3	0	0	11	0	9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq44	0	0	3	19	0	17	151	72	8	295	354	4	1	0	28	77	22	14	3	302	1	42	88	13	14	4	0	0	0	0	0	22	0	0	0	37	4	44	45	20	57	74	265	30	396	67	12	10	16	81	7	0	0	0	30	23	56	6	62	42	47	40	14	23	100	6	85	4	374	0	30	0	8	15	0	56	4	0	4	2	19	24	16	93	105	0	0	0	0	0	2	0	21	83	4	52	9	8	35	57	15	26	5	56	0	30	8	29	7	20	0	1	61	30	32	11	25	31	98	11	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	cristatus/sanguinis
seq45	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	5	0	0	28	0	0	0	11	0	0	0	1554	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	169	0	0	7	0	8	2	270	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	0	4	3	636	1	0	0	0	0	0	0	0	976	19	19	0	0	0	3	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
seq46	18	0	39	0	0	0	5	0	0	0	0	0	0	0	5	0	645	0	0	0	2	0	0	16	4	7	0	7	0	0	0	0	0	0	0	27	0	0	0	74	5	0	0	0	44	0	0	0	0	0	0	3	0	0	19	35	317	0	6	0	0	0	0	0	0	2	1	8	29	46	0	0	373	5	15	31	17	14	47	14	26	18	10	7	0	0	0	33	0	10	2	0	252	25	8	84	6	0	5	44	256	35	0	38	0	46	0	363	68	482	4	0	54	141	5	0	0	332	48	7	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes
seq47	0	0	0	0	0	10	10	2	0	0	35	1	0	0	1	28	8	0	3	19	0	82	32	12	32	76	0	1	0	0	0	22	0	0	0	5	9	33	4	43	23	20	41	10	45	4	10	8	7	23	0	0	0	0	13	0	21	0	6	95	10	110	12	101	21	0	6	0	41	3	17	0	19	15	0	38	0	0	735	0	166	639	649	22	62	0	0	0	0	189	0	2	80	1	0	0	0	16	84	16	7	7	1	27	0	15	3	10	1	7	0	0	90	4	140	97	5	25	107	17	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	parainfluenzae
seq48	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	53	71	423	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	109	0	11	0	0	33	145	10	0	31	9	7	10	0	0	0	0	23	73	462	0	2	0	0	0	0	616	0	0	220	164	0	0	1	0	160	1	3	7	0	1	0	0	0	0	996	104	0	0	2	1	6	46	75	2	6	46	18	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	
seq49	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	12	22	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	43	0	0	1603	0	1361	157	0	2	3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	168	0	0	5	344	0	0	18	12	0	0	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flavescens/perflava
seq50	7	7	278	0	3	0	0	0	13	0	0	0	0	0	14	9	91	3	33	0	0	146	26	0	0	0	0	3	20	0	0	13	0	0	0	17	0	23	4	0	0	0	0	0	0	0	0	26	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	466	0	0	210	0	4	183	965	0	37	0	0	0	0	292	0	0	0	0	0	0	3	0	0	39	0	2	34	9	5	1	193	20	7	205	0	0	0	461	0	0	0	0	0	30	0	0	0	26	4	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	
seq51	4	0	24	0	0	0	0	18	3	388	1	2	4	0	0	25	5	0	5	0	0	18	0	0	7	28	0	0	147	0	0	0	0	0	5	1	0	18	9	0	1	1	1	0	7	41	75	1	0	6	0	0	0	1	103	64	68	42	12	9	38	56	11	17	70	1	106	44	0	1	5	0	4	126	9	39	0	0	11	2	7	23	23	80	163	0	0	0	0	5	0	0	8	71	0	7	38	0	74	9	1	11	1	9	0	4	0	0	763	421	12	1	72	4	248	37	96	4	19	21	10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis/sanguinis
seq52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3545	0	7	392	0	2	0	0	0	3	15	10	1	7	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	28	33	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
seq53	0	0	0	3	0	3	0	0	6	1	0	9	0	0	76	0	0	7	0	0	0	1	0	0	2	0	0	17	0	0	0	0	0	0	0	51	7	9	0	0	3	0	6	6	0	0	3	108	5	12	0	0	0	0	517	269	2260	4	0	65	2	42	15	19	5	4	0	0	10	28	0	0	38	0	0	0	0	0	0	20	0	0	0	0	10	0	0	0	0	1	0	0	2	36	4	342	3	0	3	26	1	16	0	0	0	17	0	0	0	0	0	0	0	15	5	0	32	18	52	76	4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	catarrhalis/nonliquefaciens
seq54	0	0	0	0	0	11	19	31	11	370	289	3	0	0	6	0	0	1	1	36	0	10	0	5	0	76	0	18	3	0	0	2	0	0	10	6	3	21	30	0	31	38	167	17	31	23	149	10	7	12	0	0	0	0	15	24	36	0	76	163	158	155	31	0	0	1	147	96	22	0	33	0	0	130	13	14	24	0	0	2	41	224	225	0	15	0	0	0	0	0	0	0	1	1	4	22	8	0	6	10	6	9	0	26	0	6	0	26	4	39	0	4	61	23	69	209	10	42	132	2	3	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	parvula/rogosae/tobetsuensis
seq55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1453	0	0	89	35	0	0	0	0	3	91	13	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	211	0	0	1188	159	2	0	0	0	0	0	0	0	2	0	0	0	0	28	4	0	8	35	19	16	2	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
seq56	0	0	0	0	0	0	3	0	0	100	7	0	0	0	3	54	0	0	4	54	0	6	29	0	12	4	0	0	29	0	0	3	0	0	0	19	80	23	6	0	5	2	11	0	13	0	56	0	0	2	0	0	0	0	13	0	25	6	60	20	58	11	0	6	128	36	0	0	201	0	0	0	0	3	0	0	0	0	11	0	0	0	0	98	40	0	0	0	0	189	0	0	74	192	0	213	269	2	11	130	11	123	0	7	0	13	41	4	114	186	0	3	356	0	148	0	28	0	0	28	2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
seq57	4	0	0	0	2	0	0	27	0	0	0	0	0	760	0	0	23	0	0	0	0	2	0	12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	8	0	9	0	0	0	0	296	0	0	0	0	0	0	2	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	4	0	1	3	0	0	0	7	0	2	2356	4	20	7	3	0	0	8	1	0	7	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	rhinitidis
seq58	3	5	0	123	19	9	80	129	13	0	53	4	0	0	61	10	4	28	17	3	0	10	15	19	74	4	0	243	2	0	0	18	0	0	1	136	32	18	34	17	196	545	5	9	14	26	4	21	138	68	5	0	0	0	0	0	0	0	6	1	0	4	0	4	2	199	0	0	42	0	0	0	2	1	3	52	0	0	5	0	0	0	0	16	8	0	0	0	0	3	0	48	146	2	21	2	5	0	3	12	7	1	0	33	3	59	0	0	36	290	2	0	0	9	1	0	2	4	9	8	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	bouvetii/haemolyticus/johnsonii/lwoffii
seq59	0	0	0	7	0	1	0	9	0	5	22	1	0	0	9	0	15	0	0	0	0	27	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	13	3	0	4	8	0	2	23	39	17	5	92	6	0	0	0	0	0	0	24	0	31	151	50	170	15	0	6	3	643	430	27	51	20	0	38	941	0	14	6	4	11	4	0	0	0	4	185	0	0	0	0	6	0	0	7	68	0	37	20	26	6	88	5	54	0	6	0	4	0	14	2	5	0	0	0	2	0	16	17	8	0	7	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	parainfluenzae
seq60	0	0	0	0	0	11	55	40	0	84	1038	0	2	0	21	8	7	1	0	35	0	12	29	0	12	0	0	9	1	0	0	0	0	0	0	11	0	10	0	0	4	14	5	6	83	29	4	0	19	10	3	0	0	0	1	0	10	0	11	69	1	32	0	12	81	2	197	43	91	1	48	0	0	52	0	58	0	0	0	0	2	23	42	47	25	0	0	0	0	6	1	0	4	34	1	43	0	0	15	117	4	3	2	12	0	44	0	5	3	9	0	0	63	5	17	0	5	3	381	9	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	mirabilis
seq61	16	0	0	9	0	11	17	19	25	91	777	0	2	0	17	96	1	0	3	77	2	100	42	3	16	0	0	0	4	0	0	21	0	0	0	21	10	69	33	0	30	32	211	10	71	18	28	17	56	20	1	0	0	3	0	32	0	4	148	6	13	2	0	0	0	0	0	0	0	2	5	0	0	6	4	0	0	0	0	2	0	11	0	2	18	0	0	0	0	0	0	0	0	3	12	42	0	0	0	23	21	3	0	29	0	94	1	21	4	79	0	0	17	66	2	0	4	105	350	2	1	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	dispar/parvula
seq62	1	0	0	0	0	0	9	0	0	311	6	0	0	0	0	0	11	0	0	0	0	0	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	8	0	0	48	14	0	0	24	47	164	3	0	5	0	0	0	0	3	0	51	39	170	73	940	96	28	82	42	0	2	0	14	27	8	0	28	22	0	9	0	0	0	1	4	116	101	20	9	0	0	0	0	0	0	0	2	7	0	15	0	12	38	34	4	7	0	13	0	14	0	0	0	4	0	0	9	0	23	37	38	4	10	54	5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	influenzae/parainfluenzae
seq63	0	0	0	0	0	0	8	7	2	464	34	0	0	0	1	25	0	0	2	21	0	7	85	35	0	0	0	0	0	0	0	4	0	0	0	0	5	3	5	45	10	8	0	0	11	23	30	4	0	0	2	0	0	0	739	174	276	0	44	2	20	6	0	0	20	0	0	0	0	0	4	0	0	0	0	31	0	0	0	0	10	6	9	0	18	0	0	0	0	0	0	0	0	17	8	42	13	0	6	55	14	3	0	22	0	0	0	27	2	4	0	0	64	19	37	0	25	19	263	12	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	influenzae/parainfluenzae
seq64	0	2	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	489	0	0	240	0	0	0	0	0	0	1045	0	0	34	0	2	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	17	0	15	0	140	0	0	0	0	0	6	0	0	0	43	0	0	0	58	257	0	0	0	16	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	35	0	0	0	0	0	0	0	0	0	39	0	0	0	287	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
seq65	12	0	0	876	0	7	6	13	4	0	158	4	2	0	32	6	0	0	5	10	0	41	15	9	0	3	0	0	0	4	0	89	6	0	0	10	0	73	13	0	59	19	16	2	0	7	0	5	206	35	0	0	1	0	0	6	0	0	17	0	0	1	2	0	383	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1224	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	7	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	assamensis/palustris
seq66	0	0	21	0	0	0	39	4	1	30	19	0	0	0	0	2	0	0	9	50	0	34	8	0	14	4	0	0	0	0	0	13	0	0	0	5	14	10	18	0	6	2	4	0	46	0	7	13	36	4	0	0	0	0	672	86	370	0	0	93	6	86	0	179	0	2	41	40	2	0	4	0	0	57	0	0	0	0	241	10	3	11	4	10	39	0	0	0	0	0	0	0	0	23	1	32	15	0	56	4	15	13	0	65	0	1	4	24	0	1	0	0	25	41	18	21	6	21	19	13	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
seq67	0	2	0	0	0	0	0	7	0	10	0	0	0	0	2	186	5	0	25	16	1	0	0	3	0	2	0	0	28	0	0	0	0	0	0	21	626	1	8	21	457	2	9	0	6	1	18	0	0	0	0	0	0	0	32	17	264	9	217	4	184	1	0	0	0	0	0	0	0	30	0	0	16	0	0	0	1	0	0	0	0	0	1	0	23	0	0	0	0	13	0	0	61	0	0	10	0	4	9	0	0	15	0	54	0	3	18	19	4	139	0	0	56	4	6	0	0	0	27	2	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae		
seq68	0	0	0	0	0	17	1	0	3	22	76	0	0	0	5	0	0	0	9	16	0	0	0	25	0	39	0	0	0	0	0	0	0	0	0	2	0	28	15	15	0	0	0	13	16	0	9	7	12	12	0	0	0	0	2	26	23	25	25	0	57	1	0	0	0	3	122	19	1	0	0	0	0	82	0	0	0	0	51	0	51	169	1008	3	0	0	0	0	0	0	0	0	0	0	0	38	4	0	19	122	3	7	1	0	0	9	0	0	1	5	0	0	33	0	298	0	2	0	0	4	0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
seq69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	61	0	0	2	0	263	4	0	0	20	2	0	17	0	0	435	0	890	0	0	0	0	0	0	0	0	0	0	493	174	0	0	9	0	0	0	0	1	0	0	17	3	0	0	0	0	0	0	43	0	0	0	0	0	0	59	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae		
seq70	5	1	22	1	1	5	12	12	27	133	7	3	0	0	3	24	10	4	36	75	0	114	8	12	1	32	0	0	0	1	0	13	0	0	0	2	12	13	7	7	15	10	87	2	41	27	44	24	0	24	0	0	0	2	41	5	20	11	11	6	9	54	6	79	33	4	22	14	9	1	11	0	3	42	0	71	146	0	48	0	29	69	174	38	86	0	0	0	0	6	0	0	1	25	0	25	39	42	52	35	43	29	5	16	0	0	0	108	2	17	0	0	41	25	89	157	11	9	22	9	4	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus
seq71	0	0	0	0	0	0	5	0	6	0	0	0	488	17	0	1	0	0	0	0	7	0	0	0	0	0	121	0	0	28	0	0	70	0	9	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1275	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	aureus/epidermidis
seq72	33	119	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	1	1	0	0	6	0	3	8	0	0	1	0	0	1	0	0	2	10	575	7	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1099	0	0	0	0	0	0	0	0	0	13	0	677	2	0	0	0	0	1	8	0	6	7	0	24	11	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	harei
seq73	121	1	11	658	6	19	91	47	0	4	24	21	0	0	11	1	12	3	0	26	9	6	75	32	32	17	0	7	11	63	4	21	0	0	1	41	14	11	22	13	41	51	7	68	25	8	4	13	97	67	92	45	0	5	3	28	0	11	80	0	11	1	0	2	49	12	0	0	15	0	0	0	1	0	6	4	0	0	7	0	0	0	6	91	3	0	0	0	0	0	0	12	11	7	6	2	8	1	12	7	2	5	0	0	2	13	3	4	4	7	0	0	5	23	14	0	2	23	4	3	5	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	alkanovora/aloeverae/endophyticus/flavus/indicus/luteus/thailandicus/yunnanensis
seq74	14	0	0	0	0	21	26	3	10	0	15	3	4	0	6	15	0	20	2	0	0	1	40	34	36	2	0	28	2	14	1	18	7	1	0	4	17	0	30	127	4	3	0	2	14	10	0	17	45	6	64	0	5	0	5	17	2	3	36	0	2	0	5	0	3	0	0	0	3	0	4	0	4	0	15	1	0	0	3	0	1	0	1	15	0	258	554	589	112	0	0	10	4	8	13	11	22	3	0	3	2	24	2	0	18	41	4	5	1	3	0	5	10	2	0	0	0	17	5	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	algeriense/americanum/arachidis/betae/cajani/canariense/centrosematis/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/mercantei/namibiense/neotropicale/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense
seq75	6	50	0	3	0	0	0	0	0	18	0	0	152	0	2	52	0	2	0	10	0	0	6	758	0	3	389	8	0	8	0	2	0	0	3	10	23	0	12	202	3	0	1	5	0	0	27	0	0	11	0	69	1	1	0	0	0	6	7	0	7	0	0	0	0	0	0	2	4	4	53	0	3	0	0	0	0	2	0	0	6	2	0	1	1	0	0	0	0	0	0	0	0	1	2	4	0	2	0	6	79	2	5	27	2	6	5	0	0	2	0	22	10	5	52	5	0	3	3	0	1	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	afermentans/coyleae/fournieri/ihumii/mucifaciens/pilbarense/ureicelerivorans
seq76	0	0	0	0	0	2	29	47	0	345	117	0	0	0	6	58	0	0	0	98	0	11	152	3	28	0	0	2	1	0	0	3	0	0	0	2	4	22	50	0	9	21	24	0	83	64	11	1	6	17	6	0	0	0	0	0	1	9	61	3	78	18	3	7	46	6	35	4	24	0	0	0	0	6	4	13	0	0	0	0	10	13	35	21	32	0	0	0	0	0	0	0	1	25	3	17	10	1	15	34	4	4	3	40	0	91	0	3	9	31	2	0	21	39	8	14	9	53	41	4	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	defectiva
