	S1	S28	S6	allTiers
PWY173	25.5343062482999	30.5980929216516	24.9229126955215	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis; Terpenoid backbone biosynthesis
PWY174	22	0	8	Metabolism; Metabolism of terpenoids and polyketides; Tetracycline biosynthesis; Tetracycline biosynthesis
PWY175	22.4255319148936	31.8139534883721	29.3571428571429	Metabolism; Metabolism of terpenoids and polyketides; Zeatin biosynthesis; Zeatin biosynthesis
PWY176	23.1935861013007	30.5990118783191	27.5366104470162	Metabolism; Nucleotide metabolism; Purine metabolism; Purine metabolism
PWY177	20.6666389355448	31.4737373702709	33.4317721166235	Metabolism; Nucleotide metabolism; Pyrimidine metabolism; Pyrimidine metabolism
PWY178	32.3261433683551	26.1006637806638	26.3924630924631	Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation; Aminobenzoate degradation
PWY179	27.2683234584156	38.3680877742947	0	Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation; Atrazine degradation
PWY180	33.7595684779439	25.3804632454136	22.0346734892788	Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation; Benzoate degradation
PWY181	43.1428571428571	18	0	Metabolism; Xenobiotics biodegradation and metabolism; Bisphenol degradation; Bisphenol degradation
PWY182	28.0806559011164	19.9714882818331	0	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation; Caprolactam degradation
PWY183	27.8712198063708	31.4831727378839	27.0225942287323	Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation; Chloroalkane and chloroalkene degradation
PWY184	39.1177477725097	23.1802712842713	20.5830882352941	Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation; Chlorocyclohexane and chlorobenzene degradation
PWY185	30.9178571428571	29.1080705009276	0	Metabolism; Xenobiotics biodegradation and metabolism; Dioxin degradation; Dioxin degradation
PWY186	24.4527414986974	0	23.328644363556	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes; Drug metabolism - other enzymes
PWY187	29.0526610644258	0	0	Metabolism; Xenobiotics biodegradation and metabolism; Ethylbenzene degradation; Ethylbenzene degradation
PWY188	43.8080878226712	21.2947474747475	0	Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation; Fluorobenzoate degradation
PWY189	7.66666666666667	14.1111111111111	0	Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation; Furfural degradation
PWY190	23.9606671106671	0	0	Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450; Metabolism of xenobiotics by cytochrome P450
PWY191	31.6809580895295	29.922818883651	0	Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation; Naphthalene degradation
PWY192	20.1445897143478	26.2238636363636	10.1309523809524	Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation; Nitrotoluene degradation
PWY193	52.7636752136752	26.7333333333333	9.25	Metabolism; Xenobiotics biodegradation and metabolism; Polycyclic aromatic hydrocarbon degradation; Polycyclic aromatic hydrocarbon degradation
PWY194	37.7	21.2206276814972	0	Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation; Steroid degradation
PWY195	40.5088888888889	26.8678436621858	16.5223214285714	Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation; Styrene degradation
PWY196	49.5119415442945	25.3867564534231	0	Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation; Toluene degradation
